cipher score order iop    ratio latency    energy
c8+c20 0.75  seq   5m-r   1     0.0101104  00246803
c8+c20 1.0   seq   5m-r   2     0.00278325 00104992
c8+c20 1.25  seq   5m-r   3     0.0        0.0
c20    1.5   seq   5m-r   0     0.0105443  0.00172196
c20+ff 1.625 seq   5m-r   1     0.0301842  0.0226487
c20+ff 1.75  seq   5m-r   2     0.0294388  0.0276908
c20+ff 1.875 seq   5m-r   3     0.0414058  0.0390867
ff     2.0   seq   5m-r   0     0.0855681  0.0782995
ff+fb  2.125 seq   5m-r   1     0.137018   0.129432
ff+fb  2.25  seq   5m-r   2     0.119359   0.118371
ff+fb  2.375 seq   5m-r   3     0.149855   0.149165
fb     2.5   seq   5m-r   0     0.363971   0.259780
fb+fs  2.625 seq   5m-r   1     0.477344   0.467350
fb+fs  2.75  seq   5m-r   2     0.638967   0.429623
fb+fs  2.875 seq   5m-r   3     0.558785   0.550009
fs     3.0   seq   5m-r   0     1.0        1.0
c8     0.5   rnd   5m-w   0     0.0        0.0
c8+c20 0.75  rnd   5m-w   1     0.00219757 0.00124609
c8+c20 1.0   rnd   5m-w   2     0.0224671  0.00806763
c8+c20 1.25  rnd   5m-w   3     0.0274295  0.00914104
c20    1.5   rnd   5m-w   0     0.0299454  0.0110363
c20+ff 1.625 rnd   5m-w   1     0.0646733  0.0471173
c20+ff 1.75  rnd   5m-w   2     0.0503458  0.0552542
c20+ff 1.875 rnd   5m-w   3     0.0715581  0.0771420
ff     2.0   rnd   5m-w   0     0.0930861  0.0921161
ff+fb  2.125 rnd   5m-w   1     0.208390   0.194234
ff+fb  2.25  rnd   5m-w   2     0.204195   0.190758
ff+fb  2.375 rnd   5m-w   3     0.269703   0.246131
fb     2.5   rnd   5m-w   0     0.309604   0.243903
fb+fs  2.625 rnd   5m-w   1     0.698896   0.656232
fb+fs  2.75  rnd   5m-w   2     0.718510   0.706159
fb+fs  2.875 rnd   5m-w   3     0.946395   0.966171
fs     3.0   rnd   5m-w   0     1.0        1.0
c8     0.5   seq   5m-w   0     0.0        0.0
c8+c20 0.75  seq   5m-w   1     0.0068829  0.00674773
c8+c20 1.0   seq   5m-w   2     0.0211884  0.0148854
c8+c20 1.25  seq   5m-w   3     0.0239653  0.0127863
c20    1.5   seq   5m-w   0     0.0320302  0.0136295
c20+ff 1.625 seq   5m-w   1     0.0601987  0.0477201
c20+ff 1.75  seq   5m-w   2     0.0420823  0.0477681
c20+ff 1.875 seq   5m-w   3     0.0603494  0.0689550
ff     2.0   seq   5m-w   0     0.0957147  0.100783
ff+fb  2.125 seq   5m-w   1     0.181925   0.177774
ff+fb  2.25  seq   5m-w   2     0.196361   0.170452
ff+fb  2.375 seq   5m-w   3     0.240508   0.221126
fb     2.5   seq   5m-w   0     0.316254   0.254673
fb+fs  2.625 seq   5m-w   1     0.654695   0.614748
fb+fs  2.75  seq   5m-w   2     0.632282   0.624387
fb+fs  2.875 seq   5m-w   3     0.827529   0.833579
fs     3.0   seq   5m-w   0     1.0        1.0
c8     0.5   rnd   40m-r  0     0.0        0.0
c8+c20 0.75  rnd   40m-r  1     0.00239569 0.00260803
c8+c20 1.0   rnd   40m-r  2     0.0109717  0.00653063
c8+c20 1.25  rnd   40m-r  3     0.0121036  0.00694298
c20    1.5   rnd   40m-r  0     0.0124002  0.00830955
c20+ff 1.625 rnd   40m-r  1     0.0295618  0.0256877
c20+ff 1.75  rnd   40m-r  2     0.0273371  0.0265277
c20+ff 1.875 rnd   40m-r  3     0.0375785  0.0375773
ff     2.0   rnd   40m-r  0     0.0886135  0.0846438
ff+fb  2.125 rnd   40m-r  1     0.133547   0.108178
ff+fb  2.25  rnd   40m-r  2     0.111121   0.125370
ff+fb  2.375 rnd   40m-r  3     0.148678   0.136047
fb     2.5   rnd   40m-r  0     0.283349   0.265874
fb+fs  2.625 rnd   40m-r  1     0.321822   0.287941
fb+fs  2.75  rnd   40m-r  2     0.600051   0.393068
fb+fs  2.875 rnd   40m-r  3     0.916798   0.505210
fs     3.0   rnd   40m-r  0     1.0        1.0
c8     0.5   seq   40m-r  0     0.0        0.0
c8+c20 0.75  seq   40m-r  1     0.00225479 0.00327073
c8+c20 1.0   seq   40m-r  2     0.00745096 0.00612320
c8+c20 1.25  seq   40m-r  3     0.00713607 0.00617994
c20    1.5   seq   40m-r  0     0.00774446 0.00846254
c20+ff 1.625 seq   40m-r  1     0.0264602  0.0267843
c20+ff 1.75  seq   40m-r  2     0.0278513  0.0286540
c20+ff 1.875 seq   40m-r  3     0.0396462  0.0411148
ff     2.0   seq   40m-r  0     0.0832481  0.0824805
ff+fb  2.125 seq   40m-r  1     0.114898   0.116118
ff+fb  2.25  seq   40m-r  2     0.129653   0.129944
ff+fb  2.375 seq   40m-r  3     0.145651   0.147507
fb     2.5   seq   40m-r  0     0.268195   0.266154
fb+fs  2.625 seq   40m-r  1     0.452347   0.450255
fb+fs  2.75  seq   40m-r  2     0.621149   0.422957
fb+fs  2.875 seq   40m-r  3     0.843961   0.550469
fs     3.0   seq   40m-r  0     1.0        1.0
c8     0.5   rnd   40m-w  0     0.0        0.00197014
c8+c20 0.75  rnd   40m-w  1     0.00695505 0.00633153
c8+c20 1.0   rnd   40m-w  2     0.0293901  0.00195316
c8+c20 1.25  rnd   40m-w  3     0.0310307  0.0
c20    1.5   rnd   40m-w  0     0.0304925  0.00303556
c20+ff 1.625 rnd   40m-w  1     0.0514443  0.0431504
